BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg13212,101.88095238095238,98.46566354993321,111.49661226385363,105.82045770587439,122.92003506829087,110.3614824717766,5957,16.613899613899616,74.83,98969,457
pg13257,109.76851974556057,112.51404494382022,97.54314204314204,93.69954575940491,94.71984126984128,93.20890060020494,8823,11.986059163549813,78.89,105753,432
pg13273,122.09197530864198,108.500543596434,111.19574652777777,111.58411703239291,118.42603247666538,112.9243662639185,4220,13.406398104265403,80.31,56575,354
pg13312,113.40724206349206,115.92740467740468,109.76666666666668,100.5828373015873,116.80511618011617,105.7124255952381,5907,13.9735906551549,75.64,82542,309
pg1342,109.90827492613207,112.84298454709847,118.05177121353591,118.75230505425311,119.0858262108262,108.64478691019788,5997,20.38786059696515,64.95,122266,264
pg13432,108.24455895786171,111.20902156096331,114.85504743483466,111.6203007518797,104.90906641369604,111.54662338690116,2057,22.535731648031113,68.23,46356,321
pg13454,123.27071737786024,116.92099567099568,116.9946215400761,116.14922917218836,119.40151953309848,112.4045414462081,8872,19.375676284941388,69.96,171901,1160
pg13541,102.76579205108615,103.14468775904946,100.89442039442041,114.86101716570467,108.36951835427445,114.69773084058798,2812,26.210170697012803,60.38,73703,811
pg13572,105.50565312213038,103.96876271876272,110.69060331203188,106.49478415103415,111.57131011608624,108.55247682302478,3489,18.68586987675552,60.08,65195,490
pg13720,109.08207869571507,105.86815660912046,99.23694727128793,107.23393102096806,113.47377795815294,101.37072434607646,4875,19.53805128205128,65.76,95248,1151
pg13721,105.31942981942981,111.90875169606514,115.7701636904762,99.3357843137255,101.56635802469137,105.79977898332329,7059,14.240827312650516,72.19,100526,1341
pg13776,113.80711451247166,115.88494390913746,106.45176532404794,120.5882441930829,118.25849433488322,110.82644628099175,3480,14.563218390804598,77.06,50680,515
pg13913,112.73199023199024,107.21745625266752,110.73912812333866,112.17222370475794,109.08695566229814,111.0356009452395,4882,16.2304383449406,72.39,79237,548
pg1392,110.88232804232806,107.7854847173029,113.26138592992525,109.86435786435787,111.85975609756098,122.24055829228244,449,22.48775055679287,-1.2,10097,174
pg13960,107.98846548188654,110.29982488576238,98.26488095238095,109.34415999071172,108.93353174603175,100.37755731922398,10375,9.73021686746988,80.41,100951,387
pg13985,110.73152872260015,104.96854101692811,104.95660036166366,117.50430960914831,107.34011627906976,96.40226502586053,10354,16.99237009851265,77.87,175939,989
pg1400,98.81191849461081,101.1222072247353,98.03174603174604,108.45929533429532,111.84376837154615,122.48509597637505,9824,18.96722312703583,70.36,186334,815
pg14051,112.3892405063291,111.5978198508319,121.82960704607046,117.05239898989899,111.36708199208198,109.3936026936027,3885,17.122007722007723,76.96,66519,591
pg14079,106.19539911308205,118.81206866804692,108.08316830923215,121.10271672771673,114.59665240062967,104.00487620993239,3437,13.53651440209485,77.27,46525,296
pg14145,106.94078483245151,108.53765920070269,106.63847117794485,113.77940577940578,106.8175904241478,93.98566160470922,9589,12.418291792679112,81.33,119079,857
pg141,106.62233382936508,120.76131687242797,113.68760262725779,120.78453953453953,126.12056737588652,114.0685763888889,6877,23.285153409917115,70.77,160132,438
pg1422,110.32308201058201,110.09389671361502,115.18097643097643,108.28366838640811,103.35305614783228,113.49049707602339,276,18.916666666666668,35.04,5221,109
pg14253,117.23452380952382,109.1153017078943,101.87752019002019,107.99993606955634,101.53344193034914,102.76168456363261,13197,13.158748200348564,78.28,173656,581
pg14303,114.7413343158024,115.44599532412032,117.76196065280571,114.14416427728116,112.8756652546975,108.37953903022397,8651,16.381689978037222,76.35,141718,966
pg14382,121.02058982683982,106.98403679653678,102.16715060007743,119.80721659293087,119.35439450899979,126.14484126984127,6417,15.535296867695184,74.02,99690,527
pg14395,106.93397833759279,113.93809905372405,118.1019370924434,109.38685758685757,105.93641647867,102.95812603648424,5519,12.929878601195869,78.38,71360,694
pg14420,109.78116417632546,118.31478243978243,114.5774642024642,116.99623788909503,121.43619291506616,121.79534313725489,5388,31.964365256124722,55.85,172224,904
pg14427,109.04001980925058,118.49270623742456,109.87050840395911,111.14261820430652,93.92380952380954,110.03408388148648,3258,21.60220994475138,66.81,70380,210
pg14454,97.8048433048433,104.91273849607184,111.46483395989975,101.50687523071244,102.49052336552336,102.05795348442408,7575,16.04897689768977,74.83,121571,406
pg14490,108.67510398098634,112.5322550356797,117.49744509676017,102.14574314574314,103.00332112332113,108.20428124301364,4730,17.804862579281185,64.54,84217,629
pg14523,119.45152331944784,123.33664627930683,112.35792902066486,109.83080219443855,95.3335025082013,99.39258297258297,1717,19.689574839836926,68.33,33807,181
pg14581,105.36426536426538,108.81028048633684,111.79288194444443,106.50308061821221,97.15885416666666,97.44126984126984,6360,13.983647798742139,70.16,88936,236
pg14605,104.4033268774648,112.36788048552752,108.2674963924964,101.73910052910054,111.31679097341748,99.17091836734694,6973,17.468234619245663,75.13,121806,571
pg14669,115.65822059884559,108.65509657678332,115.39454788852379,112.71113083613085,110.01560549313358,116.12268518518518,7665,13.26092628832355,77.37,101645,888
pg14687,107.76224464240994,110.77209098862642,112.09747232226223,113.12854549963924,120.22928662491769,111.19648162295222,3492,19.54610538373425,71.48,68255,276
pg14708,111.8147095959596,121.15336953494848,114.62703717850778,119.50114591291062,102.14994331065759,118.0900053163211,1833,20.125477359519913,73.31,36890,209
pg14712,105.73643716072287,106.77490337944884,104.84576314774334,102.09604794298673,100.31426366843033,94.05401234567901,5386,18.70237653174898,73.61,100731,443
pg14852,109.41739741739742,112.64660613252163,102.25223751116607,124.9376508447305,103.28534473656426,106.68414843414844,10189,13.845519678084209,71.89,141072,753
pg14858,100.7104799961943,112.50849593240898,105.91216422466422,116.99278993457077,110.22108843537414,112.37869167869168,6173,13.43236675846428,77.77,82918,278
pg14885,105.14578765390455,110.01494833391385,102.56001371742111,100.42011019283747,103.86864911574214,103.29610650393784,3983,15.649510419281949,76.05,62332,372
pg15013,102.02160279334191,110.8974816189102,105.23451413085559,91.30522486772486,105.66941638608304,108.15332759609868,9538,9.638288949465297,79.9,91930,368
pg15067,102.59814814814814,100.65511396234288,99.76190476190476,111.87317895194609,109.79599567099567,115.07559604574531,4465,28.866517357222843,44.55,128889,1914
pg15094,109.20288199454866,108.78389749474087,104.72707847707848,114.66198640540746,106.84790640394088,115.78743734335839,5118,12.39409925752247,73.0,63433,375
pg15116,111.17106331168831,107.8609410430839,106.72880360380361,113.83634982039237,119.28887085137086,117.83424551638836,4433,15.288517933679223,65.25,67774,268
pg15117,114.07770800627944,108.82708700764256,113.14234449760765,117.3150466372116,113.27197802197801,119.01866307451414,3791,23.941440253231338,56.52,90762,789
pg15123,128.89631749829118,123.921860410831,112.07806637806638,100.53994275305752,116.53560250391234,90.90342197485054,5668,9.171136203246295,84.47,51982,469
pg15179,104.27277473987999,110.9920519787541,119.14267501646142,109.95507845507846,108.02266361089889,119.38374379685357,1164,15.853951890034365,72.05,18454,226
pg15181,117.02348246991103,121.39414508493456,121.61474243785565,104.97045403735545,103.76511325374962,108.08512544802866,1285,15.930739299610895,82.99,20471,95
pg15182,107.47069061542747,101.49051195979162,120.65923890923891,114.12923467969338,112.81976911976912,106.61330049261085,1473,16.526816021724372,73.51,24344,110
pg15183,123.7323199226869,108.82784570284569,106.68910399050586,102.53424291064741,97.17189025901148,113.51897639397639,1397,16.564065855404436,81.16,23140,95
pg15244,94.56637806637806,101.93437761069339,101.0,122.29231366459628,118.76118326118328,111.21932318016654,2326,25.58641444539983,63.97,59514,313
pg15275,109.48599365750529,113.81406228180421,102.90137509549275,117.45849867724867,107.8041351010101,102.02579365079364,6656,26.560396634615383,71.31,176786,753
pg15315,111.91913580246913,108.0115022404496,117.10437192118226,115.59538840788841,116.9221726190476,126.79555475388811,10204,17.08408467267738,69.86,174326,723
pg15317,105.92624534030783,107.90659012433206,105.04376952161762,110.50105351875263,105.59094868546089,107.64517249889589,319,12.592476489028213,84.61,4017,79
pg15321,112.46261036515276,103.76501311627895,112.50914915071542,103.38609892993009,120.92306139627568,116.40764350825326,7441,25.51579088832146,72.84,189863,604
pg15430,112.29923362545313,121.25845508658008,114.01058357227187,109.85765550239235,115.95291146761735,107.60763834559015,4888,17.290711947626843,58.96,84517,326
pg15498,110.98154623154623,109.86638768638768,106.10246120920277,115.92020038042764,109.1409632034632,97.60958485958486,10228,14.437426671881111,77.47,147666,1094
pg15527,102.99317460317461,96.24995024132956,100.50088252390886,113.80264857881137,112.24633431085044,104.62251918773657,10030,14.354636091724826,77.57,143977,882
pg15671,110.26554819824051,109.48916572557876,115.08697962011216,107.8204532093421,103.94468806806469,106.67545015371103,6110,10.767430441898528,80.51,65789,500
pg15704,112.39227291882159,110.47519212054095,115.8735341924997,112.09690893901421,108.53794544827153,106.64672232529375,10237,14.347269707922242,70.23,146873,1110
pg15743,110.09211616161616,103.54780140494427,100.14571789321789,111.82928697877152,106.70127197904975,107.00267653493461,5603,13.069784044262002,79.4,73230,591
pg15774,121.93451893451895,114.96123321123322,111.51367438867439,105.6276040078857,111.73493867243866,102.83702147525678,13216,16.347457627118644,71.38,216048,810
pg15793,118.92312661498707,109.76043503821282,105.12046372871116,108.26280133265426,116.77348336594913,110.70945945945945,1590,13.40125786163522,79.3,21308,173
pg15797,110.0683690430526,118.64873700182979,101.7381932196747,103.48333333333332,104.4159583641291,97.22158973782349,4238,21.737376120811703,69.75,92123,769
pg15799,99.83432539682539,110.66383744855966,110.78067999416315,117.32839326206673,113.7936046511628,122.0657567740901,1440,34.234027777777776,61.33,49297,200
pg15864,105.09520202020201,116.84454574606089,114.59320932093209,110.07038876156523,114.77750220458553,115.52179199401422,3847,19.826358201195738,71.48,76272,291
pg15875,103.0920312170312,110.13203017832647,104.88229755178908,105.55282297523677,101.31463146314633,98.15335097001764,7169,11.80345933881992,79.5,84619,419
pg15895,111.65839575530588,115.07226333098426,120.1990995115995,110.14200680272108,133.31760461760462,120.47482053811167,1359,19.29580573951435,75.37,26223,90
pg158,118.05800763701706,118.02125334982479,116.44908204245554,118.38303212851405,120.34774847145981,116.81099033816425,8639,18.63572172705174,64.54,160994,375
pg15934,124.6014897800612,107.26428571428572,115.63673889966992,103.85250980903156,92.89442791005291,100.53375503806538,8525,15.420527859237536,64.64,131460,901
